mjd            flux     error
2457517.222273 0.244114 0.0156715
2457517.222335 -0.00534277 0.0146686
2457517.222397 0.237785 0.0162788
2457517.222459 0.489941 0.0184743
2457517.222521 0.763428 0.0187808
2457517.222583 0.96839 0.0206652
2457517.222645 1.16009 0.0224872
2457517.222706 1.07173 0.0230748
2457517.222768 1.12042 0.0222641
2457517.222830 0.986904 0.0219935
2457517.222892 0.763902 0.0194579
2457517.222954 0.587211 0.0180247
2457517.223016 0.698393 0.0187239
2457517.223078 1.08648 0.0210865
2457517.223140 1.20723 0.0227493
2457517.223202 1.25214 0.0239921
2457517.223264 1.27819 0.0250161
2457517.223326 1.37519 0.0256574
2457517.223388 1.34963 0.0250155
2457517.223450 1.10844 0.0236797
2457517.223511 0.850972 0.019806
2457517.223573 0.555102 0.0171142
2457517.223635 0.124692 0.0149511
2457517.223697 -0.121037 0.0140662
2457517.223759 0.0727179 0.0148233
2457517.223821 0.348122 0.0161474
2457517.223883 0.591638 0.0173826
2457517.223945 0.806425 0.0184466
2457517.224007 1.01277 0.0214434
2457517.224069 1.02788 0.0221228
2457517.224131 1.02679 0.0202727
2457517.224193 1.00452 0.0197931
2457517.224255 0.702051 0.0186764
2457517.224316 0.573798 0.0173351
2457517.224378 0.777559 0.0186216
2457517.224440 1.05404 0.0205238
2457517.224502 1.14533 0.0218906
2457517.224564 1.27307 0.0226404
2457517.224626 1.43655 0.0245583
2457517.224688 1.43593 0.0249833
2457517.224750 1.36687 0.0237889
2457517.224812 1.23861 0.0223524
2457517.224874 0.959846 0.0199029
2457517.224936 0.798731 0.0185521
2457517.224998 0.440045 0.0166757
2457517.225059 0.254302 0.0160266
2457517.225121 0.458313 0.0169693
2457517.225183 0.677183 0.0179288
2457517.225245 0.917079 0.0198253
2457517.225307 1.03676 0.0213821
2457517.225369 1.11265 0.0219799
2457517.225431 1.21226 0.0232887
2457517.225493 1.25157 0.0232068
2457517.225555 1.14943 0.0222588
2457517.225617 0.951432 0.0210511
2457517.225679 0.898252 0.0195463
2457517.225741 0.938416 0.0198272
2457517.225803 1.17122 0.0229541
2457517.225864 1.38048 0.0256508
2457517.225926 1.42192 0.0250372
2457517.225988 1.49463 0.026098
2457517.226050 1.51099 0.0262368
2457517.226112 1.37542 0.0258938
2457517.226174 1.25135 0.0235598
2457517.226236 0.950806 0.0200139
2457517.226298 0.59786 0.0176889
2457517.226360 0.273535 0.0156942
2457517.226422 0.255974 0.0158272
2457517.226484 0.380857 0.0166132
2457517.226546 0.566494 0.0175071
2457517.226608 0.71155 0.0187461
2457517.226669 0.855229 0.0211237
2457517.226731 0.945271 0.0203468
2457517.226793 1.13168 0.0218809
2457517.226855 1.14964 0.0227764
2457517.226917 1.04957 0.0218752
2457517.226979 0.787111 0.0192053
2457517.227041 0.626127 0.0174524
2457517.227103 0.691739 0.0183429
2457517.227165 0.928639 0.0202304
2457517.227227 1.1795 0.0224394
2457517.227289 1.34824 0.024111
2457517.227351 1.50883 0.0269993
2457517.227413 1.42079 0.0258217
2457517.227474 1.39783 0.0255458
2457517.227536 1.22742 0.0249602
2457517.227598 1.02278 0.0235378
2457517.227660 0.785704 0.0200794
2457517.227722 0.623016 0.018652
2457517.227784 0.525745 0.0186068
2457517.227846 0.603424 0.018193
2457517.227908 0.684274 0.0184426
2457517.227970 0.931388 0.0201096
2457517.228032 1.15515 0.0220923
2457517.228094 1.35893 0.0259963
2457517.228156 1.34221 0.0258573
2457517.228218 1.328 0.0253682
2457517.228279 1.25557 0.0234925
2457517.228341 1.05894 0.021773
2457517.228403 0.973767 0.021393
2457517.228465 1.02739 0.023012
2457517.228527 1.32621 0.0255027
2457517.228589 1.4561 0.0292941
2457517.228651 1.52152 0.0280559
2457517.228713 1.64097 0.0304936
2457517.228775 1.57486 0.0281293
2457517.228837 1.55506 0.0264984
2457517.228899 1.43117 0.0251991
2457517.228961 1.10836 0.0223818
2457517.229023 0.842395 0.0205605
2457517.229084 0.706873 0.0187978
2457517.229146 0.580819 0.0182825
2457517.229208 0.543272 0.0178969
